"","Fecha","AVELAR P DO ALFERES(83049)_PrecipitacaoTotal","AVELAR P DO ALFERES(83049)_TempMaximaMedia","AVELAR P DO ALFERES(83049)_TempMinimaMedia","AVELAR P DO ALFERES(83049)_UmidadeRelativaMedia","BENTO GONCALVES(83941)_PrecipitacaoTotal","BENTO GONCALVES(83941)_TempMaximaMedia","BENTO GONCALVES(83941)_TempMinimaMedia","BENTO GONCALVES(83941)_UmidadeRelativaMedia","CAMPOS NOVOS(83887)_PrecipitacaoTotal","CAMPOS NOVOS(83887)_TempMaximaMedia","CAMPOS NOVOS(83887)_TempMinimaMedia","CAMPOS NOVOS(83887)_UmidadeRelativaMedia","CHAPECO(83883)_PrecipitacaoTotal","CHAPECO(83883)_TempMaximaMedia","CHAPECO(83883)_TempMinimaMedia","CHAPECO(83883)_UmidadeRelativaMedia","CRUZ ALTA(83912)_PrecipitacaoTotal","CRUZ ALTA(83912)_TempMaximaMedia","CRUZ ALTA(83912)_TempMinimaMedia","CRUZ ALTA(83912)_UmidadeRelativaMedia","CRUZ DAS ALMAS(83222)_PrecipitacaoTotal","CRUZ DAS ALMAS(83222)_TempMaximaMedia","CRUZ DAS ALMAS(83222)_TempMinimaMedia","CRUZ DAS ALMAS(83222)_UmidadeRelativaMedia","GUARULHOS(83075)_PrecipitacaoTotal","GUARULHOS(83075)_TempMaximaMedia","GUARULHOS(83075)_TempMinimaMedia","GUARULHOS(83075)_UmidadeRelativaMedia","IRAI(83881)_PrecipitacaoTotal","IRAI(83881)_TempMaximaMedia","IRAI(83881)_TempMinimaMedia","IRAI(83881)_UmidadeRelativaMedia","IRATI(83836)_PrecipitacaoTotal","IRATI(83836)_TempMaximaMedia","IRATI(83836)_TempMinimaMedia","IRATI(83836)_UmidadeRelativaMedia","IVAI(83811)_PrecipitacaoTotal","IVAI(83811)_TempMaximaMedia","IVAI(83811)_TempMinimaMedia","IVAI(83811)_UmidadeRelativaMedia","LONDRINA(83766)_PrecipitacaoTotal","LONDRINA(83766)_TempMaximaMedia","LONDRINA(83766)_TempMinimaMedia","LONDRINA(83766)_UmidadeRelativaMedia","PORTO ALEGRE(83967)_PrecipitacaoTotal","PORTO ALEGRE(83967)_TempMaximaMedia","PORTO ALEGRE(83967)_TempMinimaMedia","PORTO ALEGRE(83967)_UmidadeRelativaMedia","SANTA MARIA(83936)_PrecipitacaoTotal","SANTA MARIA(83936)_TempMaximaMedia","SANTA MARIA(83936)_TempMinimaMedia","SANTA MARIA(83936)_UmidadeRelativaMedia","SAO LUIZ GONZAGA(83907)_PrecipitacaoTotal","SAO LUIZ GONZAGA(83907)_TempMaximaMedia","SAO LUIZ GONZAGA(83907)_TempMinimaMedia","SAO LUIZ GONZAGA(83907)_UmidadeRelativaMedia","SAO MATEUS(83550)_PrecipitacaoTotal","SAO MATEUS(83550)_TempMaximaMedia","SAO MATEUS(83550)_TempMinimaMedia","SAO MATEUS(83550)_UmidadeRelativaMedia","SAO PAULO MIR de SANTANA(83781)_PrecipitacaoTotal","SAO PAULO MIR de SANTANA(83781)_TempMaximaMedia","SAO PAULO MIR de SANTANA(83781)_TempMinimaMedia","SAO PAULO MIR de SANTANA(83781)_UmidadeRelativaMedia"
"1",2000-01-01,168.6,29.76129,18.667742,77.483871,195.7,26.735484,17.83871,76.935484,211.5,27.232258,16.148387,72.475806,228.9,29.983871,19.035484,69.564516,106.4,29.929032,18.780645,70.91129,77.2,30.516129,21.580645,85.741935,331.9,28.735484,18.687097,76.129032,174.5,32.63871,19.941935,69.306452,281.4,26.822581,16.712903,79.854839,84.4,25.7763630999894,11.192369778832,76.0017124768309,101.8,31.475,20.096774,72.870968,41.3,30.629032,20.351613,72.790323,246,31.496774,20.029032,69.669355,93.7,32.848387,20.348387,63.774194,141.4,31.274194,22.087097,82.733871,328.3,27.790323,19.093548,76.330645
"2",2000-02-01,69,29.596552,18.737931,75.896552,66.4,26.2,17.510345,74.568966,152.4,26.072414,15.889655,74.775862,131.5,28.872414,18.517241,72.922414,51.9,28.510345,17.8,70.862069,64.8,31.42069,21.706897,84.068966,326.1,28.048276,18.751724,79.034483,146.1,31.57931,19.344828,72.275862,193.3,26.224138,16.596552,81.534483,147.3,26.244444,13.843333,75.557692,227.6,33.3840383861636,19.810345,78.862069,108.4,29.931034,19.937931,74.827586,90.5,29.689655,19.031034,75.37069,81.1,32.57931,19.403448,63.525862,144.5,31.968966,22.32069,82.844828,246.6,27.110345,19.182759,79.163793
"3",2000-03-01,179.8,28.693548,18.196774,77.709677,182.5,24.877419,15.983871,78.072581,151.9,24.806452,14.864516,79.08871,89.9,27.890323,17.354839,73.056452,212.3,27.180645,16.103226,77.282258,75,30.13871,21.6,86.395161,170.6,27.203226,17.948387,78.016129,148.4,30.245161,17.816129,76.274194,95,24.567742,16.016129,83.516129,159.8,27.713793,16.783333,80.525862,158.7,30.1567364608299,18.780645,77.491935,107.9,27.851613,18.490323,77.508065,248.9,27.322581,17.254839,81.266129,411.5,29.770968,17.264516,73.669355,200,31.103226,22.122581,84.830645,100.1,26.380645,18.380645,77.806452
"4",2000-04-01,56.7,27.836667,15.173333,77.7,156.6,23.28,14.666667,76.358333,136.2,23.916667,12.366667,71.616667,121,26.233333,15.406667,70.375,130.4,25.546667,15.06,74.883333,181.6,28.42,21.6,90.958333,3.8,27.383333,16.03,71.108333,118.8,28.28,15.393333,78.375,23.6,24.856667,11.816667,76.991667,139.3,27.744,15.808,79.771739,12.7,30.782397378569,16.246667,67.8,141.2,26.316667,17,79.925,78.2,26.36,16.056667,81.758333,156.4,27.273333,16.983333,73.983333,175.8,29.42,21.076667,85.125,6.3,26.323333,16.56,68.733333
"5",2000-05-01,11.7,25.474194,11.277419,77.217742,55.3,18.703226,10.293548,77.209677,119.7,18.732258,8.529032,76.959677,137.7,20.667742,10.645161,75.951613,91.5,20.393548,10.225806,77.741935,159.9,27.509677,20.564516,90.967742,9.89999999999999,24.151613,13.306452,71.58871,122.5,22.619355,10.896774,81.467742,39.9,20.196774,8.332258,80.169355,343.6,28.309677,16.977419,77.3,46.6,29.3732528311556,12.548387,73.895161,129.6,21.777419,13.203226,80.532258,143.2,21.290323,11.380645,82.217742,193.7,22.474194,11.780645,74.935484,74.9,28.303226,19.329032,83.766129,9.3,23.087097,13.93871,68.169355
"6",2000-06-01,1,25.833333,9.486667,76.416667,178.7,19.186667,11.376667,78.566667,168.3,19.765517,10.456667,77.075,147.3,21.182759,13.076667,75.616667,192.8,19.43,11.34,82.091667,160.7,26.273333,19.266667,92.475,10.8,24.776667,12.916667,72,163.9,22.893333,12.773333,85.391667,160.4,21.313333,10.263333,82,63.8,27.889286,16.2,79.990385,108.4,30.5178881059549,13.113333,77.35,231.9,21.496667,12.92,81.933333,262.2,21.213333,12.34,81.133333,336,20.89,13.036667,81.183333,51.2,28.12,17.65,83.1,12.2,24.276667,13.8,66.483333
"7",2000-07-01,29.1,23.219355,10.451613,76.040323,132.1,15.819355,5.577419,68.193548,184.3,15.887097,3.677419,69.451613,252.4,17.680645,6.125806,69.524194,94.3,16.632258,5.43871,74.104839,123.8,25.683871,18.316129,94.443548,58.4,22.106452,10.277419,72.096774,170,19.774194,5.716129,78.169355,82.9,17.690323,3.9,74.290323,52.4,30.493548,18.054839,80.580645,63.6,21.293333,8.735484,71.225806,123.1,17.587097,7.251613,76.709677,94.6,16.987097,6.13871,79.403226,81.6,17.735484,7.048387,72.169355,80.7,26.177419,17.43871,83.475806,65.6,21.467742,10.925806,67.072581
"8",2000-08-01,48.3,25.125806,10.8,73.459677,131.9,19.809677,8.812903,65.975806,327.5,19.41,10.126667,80.05,126.3,22.641935,11.406452,64.733871,102.6,21.025806,9.458065,71.330645,84.7,26.019355,18.716129,87.362903,70.6,23.877419,11.774194,68.556452,83.7,24.4,10.051613,74.379032,71.6,21.609677,7.983871,73.451613,33.3,29.733333,16.913333,79.146552,93.3,30.57336987341,13.287097,71.717742,93.9,20.845161,9.13871,73.612903,99.2,21.816129,8.377419,77.91129,80,23.36129,11.229032,65.209677,26.7,27.593548,17.393548,80.483871,86.3,23.6,12.267742,68.379032
"9",2000-09-01,64.5,25.09,14.823333,77.141667,211,20.516667,10.526667,72.116667,367.2,23.854839,13.829032,73.725806,391.5,22.313333,12.423333,73,132,21.806667,10.606667,75.058333,93.9,26.91,19.543333,83.275,93.1,24.82,14.02,71.025,308.7,24.86,13.133333,74.541667,335,20.163333,11.38,82.65,211.7,23.112903,13.470968,86.637097,171,25.2217957494719,15.193333,74.741667,240.2,22.253333,12.346667,75.225,242.4,22.633333,11.02,77.633333,129.7,24.416667,12.463333,70.666667,305.9,27.593333,18.646667,83.383333,111.1,23.876667,14.386667,75.4
"10",2000-10-01,36.1,30.151613,17.025806,72.177419,203.8,23.36129,14.522581,78.032258,129.6,24.866667,14.713333,70.541667,337.6,26.419355,16.325806,72.403226,311.6,25.593548,14.945161,77.879032,22.9,29.793548,20.225806,76.419355,40.5,29.616129,17.341935,67.395161,434.5,28.8,16.825806,77.08871,167.4,26.177419,14.374194,75.104839,11.8,23.943333,12.426667,83.458333,85.2,27.8615822331174,18.580645,63.120968,141.6,24.019355,16.135484,78.427419,185,24.474194,15.690323,81.629032,309,28.158065,16.893548,74.540323,42,29.958065,19.822581,80.532258,59,28.806452,17.690323,69.241935
