"","Fecha","AVARE(83773)_PrecipitacaoTotal","AVARE(83773)_TempMaximaMedia","AVARE(83773)_TempMinimaMedia","AVARE(83773)_UmidadeRelativaMedia","CURITIBA(83842)_PrecipitacaoTotal","CURITIBA(83842)_TempMaximaMedia","CURITIBA(83842)_TempMinimaMedia","CURITIBA(83842)_UmidadeRelativaMedia","INDAIAL(83872)_PrecipitacaoTotal","INDAIAL(83872)_TempMaximaMedia","INDAIAL(83872)_TempMinimaMedia","INDAIAL(83872)_UmidadeRelativaMedia","IVINHEMA(83704)_PrecipitacaoTotal","IVINHEMA(83704)_TempMaximaMedia","IVINHEMA(83704)_TempMinimaMedia","IVINHEMA(83704)_UmidadeRelativaMedia","LONDRINA(83766)_PrecipitacaoTotal","LONDRINA(83766)_TempMaximaMedia","LONDRINA(83766)_TempMinimaMedia","LONDRINA(83766)_UmidadeRelativaMedia","PASSO FUNDO(83914)_PrecipitacaoTotal","PASSO FUNDO(83914)_TempMaximaMedia","PASSO FUNDO(83914)_TempMinimaMedia","PASSO FUNDO(83914)_UmidadeRelativaMedia","PRESIDENTE PRUDENTE(83716)_PrecipitacaoTotal","PRESIDENTE PRUDENTE(83716)_TempMaximaMedia","PRESIDENTE PRUDENTE(83716)_TempMinimaMedia","PRESIDENTE PRUDENTE(83716)_UmidadeRelativaMedia"
"1",2000-01-01,238.9,29.604,17.836,96.9170141998744,125.2,26.76129,17.180645,82.653226,229.9,31.86129,20.303226,81.435484,120.2,34.464516,22.703226,68.725806,101.8,31.475,20.096774,72.870968,143.6,28.548387,17.551613,68.967742,91.1,32.23871,21.783871,66.830645
"2",2000-02-01,188,28.828,17.42,71.716694651887,197.6,26.272414,17.293103,85.008621,231.4,31.365517,20.596552,81.275862,285.4,31.551724,21.562069,78.034483,227.6,29.1804119877987,19.810345,78.862069,105.7,26.993103,17.144828,71.603448,304.7,30.489655,21.310345,75.181034
"3",2000-03-01,123.4,28.062963,16.366667,72.2804684306965,136.4,24.748387,15.822581,85.782258,100.1,29.829032,18.987097,83.806452,64.8,30.390323,21.158065,79.725806,158.7,30.2355551838624,18.780645,77.491935,267.4,26.1,15.767742,76.258065,188.9,29.477419,20.683871,73.370968
"4",2000-04-01,1.8,28.210345,15.217241,69.5139313904879,10.8,25.456667,13.813333,80.891667,70.6,28.84,17.216667,82.025,71,31.446667,19.02,62.866667,12.7,28.0509292166724,16.246667,67.8,76.1,24.856667,14.273333,71.45,13.2,30.106667,19.316667,56.991667
"5",2000-05-01,16,24.887097,12.564516,83.025905802586,19,20.887097,10.364516,82.701613,33.5,24.312903,13.193548,83.459677,33.1,26.6,14.767742,69.435484,46.6,26.6585114273539,12.548387,73.895161,76.8,19.316129,9.683871,73.629032,15.5,26.535484,15.76129,62.330645
"6",2000-06-01,17.6,25.15,13.406667,63.225,121.2,21.866667,11.476667,83.275,86.7,22.656667,14.166667,90.175,120.3,26.54,15.466667,71.741667,108.4,31.299544095247,13.113333,77.35,205.5,19.163333,11.06,77.733333,36,27.716667,16.656667,56.925
"7",2000-07-01,36.3,21.741935,9.973333,63.137097,74.3,18.319355,6.151613,79.959677,48.8,20.506452,8.067742,80,56.7,22.980645,9.954839,64.41129,63.6,21.293333,8.735484,71.225806,148.1,15.980645,5.096774,68.282258,60.8,23.83871,11.548387,56.153226
"8",2000-08-01,88.4,24.403226,12.912903,64.58871,92.4,21.26129,8.948387,82.846774,64.7,24.764516,11.032258,84.556452,137.7,27.109677,15.732258,72.685484,93.3,30.865346008232,13.287097,71.717742,169,20.81,10.593333,72.558333,51.6,27.729032,16.006452,58.516129
"9",2000-09-01,126.8,24.78,14.073333,74.525,249.1,19.863333,11.473333,88.708333,193.3,23.386667,14.453333,88.783333,195.4,27.25,16.456667,74.408333,171,23.3799120036123,15.193333,74.741667,339.3,24.493548,14.887097,75,131.6,27.703333,17.286667,66.65
"10",2000-10-01,96.5,30.258065,17.674194,64.185484,164.1,25.616129,15.287097,81.895161,176.5,28.845161,17.967742,83.5,67,32.445161,20.47,66.58871,85.2,26.2977613907529,18.580645,63.120968,164.2,26.653333,14.783333,63.575,73.9,32.993548,20.729032,54.290323
