"","Fecha","CACERES(83405)_PrecipitacaoTotal","CACERES(83405)_TempMaximaMedia","CACERES(83405)_TempMinimaMedia","CACERES(83405)_UmidadeRelativaMedia","IRAI(83881)_PrecipitacaoTotal","IRAI(83881)_TempMaximaMedia","IRAI(83881)_TempMinimaMedia","IRAI(83881)_UmidadeRelativaMedia","JATAI(83464)_PrecipitacaoTotal","JATAI(83464)_TempMaximaMedia","JATAI(83464)_TempMinimaMedia","JATAI(83464)_UmidadeRelativaMedia","RONDONOPOLIS(83410)_PrecipitacaoTotal","RONDONOPOLIS(83410)_TempMaximaMedia","RONDONOPOLIS(83410)_TempMinimaMedia","RONDONOPOLIS(83410)_UmidadeRelativaMedia","UNAI(83428)_PrecipitacaoTotal","UNAI(83428)_TempMaximaMedia","UNAI(83428)_TempMinimaMedia","UNAI(83428)_UmidadeRelativaMedia"
"1",2000-01-01,176.7,33.26129,22.896774,78.540323,174.5,32.63871,19.941935,69.306452,287.1,30.774194,20.109677,76.825,160.4,32.842857,22.207143,82.221154,180.1,31.374194,21.26129,74.548387
"2",2000-02-01,266.2,31.768966,22.42069,84.146552,146.1,31.57931,19.344828,72.275862,219,30.362069,19.968966,82.62931,22.9,31.827586,21.368966,88.206897,260.5,30.958621,20.831034,75.25
"3",2000-03-01,198.4,31.451613,22.312903,84.008065,148.4,30.245161,17.816129,76.274194,428.4,29.76129,19.967742,82.548387,37.8,31.722581,21.503226,86.685484,346.8,30.496774,20.66129,76.709677
"4",2000-04-01,157.1,31.373333,20.916667,78.191667,118.8,28.28,15.393333,78.375,81.4,30.823333,16.97,71.75,35.6,32.986667,19.863333,77.55,10.4,31.26,18.92,65.566667
"5",2000-05-01,7,31.380645,18.816129,76.645161,122.5,22.619355,10.896774,81.467742,3.3,28.880645,13.677419,70.475806,5,32.016129,17.622581,76.104839,0,31.122581,15.706452,58.129032
"6",2000-06-01,0,31.296667,17.83,73.533333,163.9,22.893333,12.773333,85.391667,0,30.593333,11.986667,61.683333,0,32.846667,16.386667,65.619048,0,30.4,12.926667,54.958333
"7",2000-07-01,21.6,28.841935,13.306452,69.290323,170,19.774194,5.716129,78.169355,3,28.364516,9.554839,57.516129,2,31.519355,13.125806,59.596774,5.09999999999999,29.703226,13.403226,52.266129
"8",2000-08-01,8.6,34.06129,18.635484,63.782258,83.7,24.4,10.051613,74.379032,22.5,32.312903,14.141935,51.508065,1.8,35.780645,17.770968,54.403226,30.3,32.232258,15.077419,44.25
"9",2000-09-01,36.2,32.1375,19.856667,67.541667,308.7,24.86,13.133333,74.541667,64.7,30.203333,17.556667,67.491667,9.7,33.313333,19.013333,69.033333,30.7,31.726667,18.786667,54.216667
"10",2000-10-01,35,34.089474,22.354839,67.629032,434.5,28.8,16.825806,77.08871,139,33.470968,18.774194,61.637097,19.1,34.874194,20.719355,74.25,68.4,35.303226,20.33871,46.080645
"11",2000-11-01,109.9,32.826667,21.576667,74.008333,91.8,30.3,16.6,68.083333,205.5,30.69,19.796667,75.616667,0,32.7249322565261,22.4694081305102,83.7253461328326,322.4,30.46,20.306667,73.8
"12",2000-12-01,114.2,33.029032,21.858065,74.959677,158.8,31.916129,18.890323,66.927419,264.1,30.06129,19.735484,78.717742,176.4,33.203448,21.078571,86.333333,137.6,31.03871,21.196774,75.193548
